titleRestaurant,adress,information,kitchens,number_of_comments,phoneNumber,price,score,special_types_of_diets,average_price,price_min
Undan Şeyler - Artisan Bakery and Coffee House,"Acarlar Sitesi Ladin Cad. E27 Zekeriyaköy Yedigün Market Yanı), İstanbul 34450 Türkiye,İnternet sitesi","Kafe,Uluslararası,Sağlıklı","Kafe, Uluslararası, Sağlıklı",6,+90 536 957 09 35,5-25,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",15.0,15.0
Mama Ram,"Bademaltı Sokak No: 20/B Caferağa Mahallesi, İstanbul 34710 Türkiye,İnternet sitesi",İngiliz,İngiliz,4,+90 216 330 79 35,7-22,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",14.5,14.5
Yeldeğirmeni Sandviççisi,"Karakolhane Caddesi 45/A, İstanbul 34716 Türkiye,İnternet sitesi",no input,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",1,+90 534 592 18 13,10-17,5.0,"Dışarı Yemek Servisi, Paket Yemek, Kredi Kartı Geçerli",13.5,13.5
Magnaura Cafe & Restaurant,"Cankurtaran Mahallesi, Akbıyık Cad. No: 23 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Uluslararası,Akdeniz,Avrupa","Akdeniz, Avrupa, Türk, Ortadoğu, Uluslararası",1178,+90 212 518 76 22,3-22,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",12.5,12.5
Cafe La Perla,"Çatma Mescit Mahallesi, Akarca Sk. No: 19/A Beyoğlu, İstanbul 34420 Türkiye,İnternet sitesi","İtalyan,Amerikan,Kafe","İtalyan, Amerikan, Asya, Türk, Kafe, Avrupa",70,+90 212 238 22 09,5-20,5.0,Vejetaryen Dostu,12.5,12.5
Hisar Ev Yemekleri Havalimanı,"Yunus Caddesi, No: 6 Arnavutköy, Tayakadın, İstanbul 34277 Türkiye,İnternet sitesi,Menü",Türk,Türk,6,+90 536 729 84 50,5-20,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",12.5,12.5
Beso Restaurant Bistro,"Ordu caddesi, Yeşil Tulumba Sk. no. 11/2 Fatih, İstanbul 34134 Türkiye,İnternet sitesi,Menü","İtalyan,Fransız,Biftek Restoranı","Biftek Restoranı, Barbekü, İtalyan, Fransız, Pizza, Deniz Mahsülleri, Akdeniz, Avrupa, Türk, Sağlıklı, Ortadoğu, Çorbalar, Orta Avrupa, Lombard, Liguria, Sardinya, Kuzey İtalya, Güney İtalya",1722,+90 533 432 98 63,8-16,5.0,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Kosher, Glütensiz Seçenekler",12.0,12.0
Vancoff Çukurcuma,"Hayriye cad. No:7/A Çukurcuma, İstanbul 34433 Türkiye,İnternet sitesi","İtalyan,Türk,Güney Amerika","İtalyan, Türk, Güney Amerika",59,+90 535 952 45 90,2-22,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",12.0,12.0
West Cakery,"Hasanpaşa Mahallesi, Ali Ferruh Sk. No:13, İstanbul 34722 Türkiye,İnternet sitesi","Fransız,Amerikan,Kafe","Amerikan, Fransız, Kafe",7,+90 552 362 50 60,4-20,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",12.0,12.0
Yaska Ev Yemekleri,"Hamiyet Yuceses Sokak 21/D Suadiye Mah. Petek Apt, İstanbul 34740 Türkiye,İnternet sitesi,Menü","Türk,Sağlıklı","Türk, Sağlıklı",1,+90 535 658 85 57,4-20,5.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",12.0,12.0
Dürümcü Keyfibol,"Katip Mustafa Celebi Mahallesi, Tel Sokak, No:10/A Beyoğlu, İstanbul 34433 Türkiye,İnternet sitesi,Menü",Türk,Türk,31,+90 212 243 51 69,3-15,5.0,"Öğle Yemeği, Akşam Yemeği, İçecekler",9.0,9.0
Flekk,"Tomtom Mahallesi, Yeniçarşı Caddesi No: 54 Beyoğlu, İstanbul 34433 Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Şarap Barı, Akdeniz, Avrupa, Türk",1026,+90 212 252 80 99,4-12,5.0,"Vejetaryen Dostu, Vegan Seçenekleri",8.0,8.0
Köfteci Ramiz,"Kocatepe Mah. Şehir Parkı Cad. Forum İstanbul K:3 Bayrampaşa Yıldırım, İstanbul 34045 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Fast Food,Akdeniz","Biftek Restoranı, Fast Food, Akdeniz, Barbekü, Türk",6,+90 212 437 37 45,4-12,5.0,"Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler",8.0,8.0
Olmadık Projeler Atölyesi,"Balat Mah. Hızır Çavuş Mescidi Sk. No:40/A Fatih, İstanbul 34087 Türkiye,İnternet sitesi",Akdeniz,Akdeniz,4,+90 212 635 70 60,5-9,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",7.0,7.0
mecra,"Caferağa Mahallesi Dumlupınar Sokak no: 5 Bina numarası: 5, İstanbul 34710 Türkiye,İnternet sitesi,Menü","Bar,Şarap Barı,Gastropub","Şarap Barı, Güney Amerika, Bar, Gastropub",12,+90 216 349 04 80,3-8,5.0,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi, İçecekler",5.5,5.5
Cicki Ma Ma Istanbul,"Büyük Postane Caddesi No:26 Hobyar Mahallesi, İstanbul 34112 Türkiye,İnternet sitesi","Fast Food,Akdeniz,Avrupa","Fast Food, Akdeniz, Avrupa, Türk, İsveç",11,+90 552 455 10 02,4-7,5.0,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",5.5,5.5
Isokyo,"Koru Sokak Beşiktaş, Zorlu Center, Raffles İstanbul Hotel, İstanbul Türkiye,İnternet sitesi,Menü","Çin,Japon,Suşi","Japon, Suşi, Asya, Çin, Tayland, Kore",31,+90 212 924 02 44,1064-1773,4.5,Akşam Yemeği,1418.5,1418.5
Chinese & Sushi Express,"Yenişehir Mahallesi, Osmanlı Bulvarı No: 11 Pendik, İstanbul 34912 Türkiye,İnternet sitesi,Menü","Çin,Japon,Suşi,Asya","Öğle Yemeği, Akşam Yemeği, İçecekler",10,+90 216 444 12 46,,4.5,"Tekerlekli Sandalye İle Erişim, Dışarı Yemek Servisi, Paket Yemek, Açık Havada Oturma, Oturma, Otopark Var, Cadde Üzerinde Park, Ücretsiz Yol Üstü Olmayan Park Yeri, Bebek Sandalyesi Var, Dijital Ödemeler, Ücretsiz Wifi, Kredi Kartı Geçerli",1418.0,1418.0
Cunda Balık Restaurant,"Bostancı Mahallesi, Köy Yolu Sk. No: 6 Kadıköy, İstanbul 34744 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",158,+90 216 380 59 89,638-1773,4.5,"Vejetaryen Dostu, Vegan Seçenekleri",1205.5,1205.5
Art By Ayvaz Şef,"Muallim Naci Cad. No: 54 Beşiktaş, Kuruçeşme, İstanbul Türkiye,İnternet sitesi,Menü","Akdeniz,Türk,Ortadoğu","Akdeniz, Türk, Ortadoğu",4,+90 532 501 09 69,340-1701,4.5,Akşam Yemeği,1020.5,1020.5
Balıkçı Anne,"7, İskele Cd. Rumeli Kavağı Mahallesi, İstanbul 34450 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Türk,Şarküteri","Deniz Mahsülleri, Türk, Şarküteri, Sağlıklı, Çorbalar",4,+90 533 704 98 28,71-1773,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği",922.0,922.0
Vakıf Tenis Cafe,"Cemil Topuzlu Caddesi No:112/1A Caddebostan, İstanbul Türkiye,İnternet sitesi",Uluslararası,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",530,3575871,,4.5,Masaya Servis,886.5,886.5
Şehir Meyhanesi Beyoğlu,"Istiklaf cad. Kartal sk. 3/A Kuloğlu Mahallesi, İstanbul 34435 Türkiye,İnternet sitesi","Avrupa,Türk,Mangal","Türk, Sağlıklı, Avrupa, Mangal",182,+90 544 518 29 23,709-1064,4.5,Vejetaryen Dostu,886.5,886.5
Brasserie Noir,"Suadiye Mahallesi, Bağdat Caddesi No: 455/1-B Kadıköy, İstanbul Türkiye,İnternet sitesi","Fransız,Biftek Restoranı,Afrika","Fransız, Biftek Restoranı, Afrika, Akdeniz, Avrupa, Türk",85,+90 216 380 00 05,355-1418,4.5,"Vejetaryen Dostu, Vegan Seçenekleri",886.5,886.5
Baylo Bistro,"Asmalı Mescit, Meşrutiyet Cd. No:107/A Beyoğlu, İstanbul 34430 Türkiye,İnternet sitesi,Menü",Avrupa,"Akşam Yemeği, Gece Eğlencesi, İçecekler",130,+90 212 243 60 18,,4.5,"Rezervasyonlar, Oturma, Alkol Var, Masaya Servis",798.0,798.0
Kasap Sakir,"Yenindogan Mah, Cicoz Yolu Cad, No 32/E Bayrampasa, İstanbul 34030 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Barbekü,Türk","Türk, Mangal, Biftek Restoranı, Barbekü",54,+90 212 501 11 12,156-1418,4.5,Helal,787.0,787.0
Bosphorus Old City Hotel Restaurant,"Hoca Paşa Mahallesi, Nöbethane Cd. No: 18 Sirkeci, Sultanahmet, Fatih, İstanbul 34420 Türkiye,İnternet sitesi","Biftek Restoranı,Deniz Mahsülleri,Türk","Biftek Restoranı, Deniz Mahsülleri, Türk",17,+90 212 512 10 34,142-1418,4.5,Rezervasyonlar,780.0,780.0
Eleos,"Yeşilbahçe Sok. No:9 Yeşilköy no: 9 Yesilkoy, İstanbul Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Yunan","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",256,(0212) 663 39 11-573 68 28,,4.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",744.5,744.5
Baran Et & Mangal,"Zeyrek Mahallesi, İtfaiye Caddesi, İmam Niyazi Sokak No: 4/A Fatih, İstanbul 34083 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Barbekü,Türk","Biftek Restoranı, Barbekü, Türk, Mangal, Çorbalar",99,+90 212 532 66 51,199-1276,4.5,Helal,737.5,737.5
Vezenan,"Rüstem Paşa Mahallesi No: 9/10 Beyoğlu, Karaköy, Galata Köprüsü, İstanbul 34116 Türkiye,İnternet sitesi","Bar,Deniz Mahsülleri,Akdeniz","Türk, Deniz Mahsülleri, Akdeniz, Barbekü, Bar",160,+90 212 292 77 17,35-1418,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",726.5,726.5
Asterya Nargile Cafe,"Kuloğlu Mh., Ayhan Işık Sk. No:3 Ayhanışık Sok No 3/A, İstanbul 34433 Türkiye,İnternet sitesi,Menü","Kafe,Türk,Ortadoğu","Türk, Ortadoğu, Kafe",35,+90 536 673 58 80,248-1064,4.5,"Helal, Vejetaryen Dostu, Vegan Seçenekleri",656.0,656.0
Sadrazam Kemal Restaurant,"Karaağaç Cad. No:86A/1 Beyoğlu, Eski Sütlüce Mezbahası Alt Geçit Çıkışı Sağada, İstanbul Türkiye,İnternet sitesi,Menü","Türk,Vejetaryen Dostu",Türk,14,+90 212 255 84 94,213-1064,4.5,Vejetaryen Dostu,638.5,638.5
Starlight Terrace Lounge & Hookah Bar,"Hocapasa Mah. Ibn-i Kemal Caddesi No:13/ASirkeci Fatih, İstanbul 34110 Türkiye,İnternet sitesi,Menü","İtalyan,Biftek Restoranı,Akdeniz","İtalyan, Biftek Restoranı, Akdeniz, Barbekü, Şarap Barı",7,+90 530 772 10 01,177-1099,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",638.0,638.0
Sabırtaşı Mantı ,"Istiklal Cad. No: 112 Kat : 5Galatasaray opposite of YapIkredi Bank, İstanbul Türkiye,İnternet sitesi,Menü","Türk,Helal",Helal,47,+90 212 244 82 26,,4.5,"Öğle Yemeği, Akşam Yemeği",620.5,620.5
Atelier Real Food,"Askerocağı Caddesi No: 6 Elmadağ, Şişli, The Ritz-Carlton, Suzer Plaza, İstanbul Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk",44,+90 212 334 41 88,532-709,4.5,Vejetaryen Dostu,620.5,620.5
Amedros,"Divanyolu Cad. Hoca Rüstem Sok. No: 3 Sultanahmet, İstanbul 34110 Türkiye,İnternet sitesi,Menü","Uluslararası,Türk,Sağlıklı","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",2407,+90 212 522 83 56,,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi",603.0,603.0
Sura Kebap Restoran,"Divanyolu Cad. Alemdar Mah.Ticarethane Sk. No:45 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi","Akdeniz,Avrupa,Türk","Akdeniz, Avrupa, Türk, Ortadoğu",824,+90 212 513 83 90,142-1064,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",603.0,603.0
Salt Cafe,"Istiklal Caddesi 136 Salt Beyoğlu, İstanbul 34430 Türkiye,İnternet sitesi",Uluslararası,"Öğle Yemeği, Akşam Yemeği",9,+90 212 292 76 05,,4.5,Rezervasyonlar,585.0,585.0
Express Restaurant & Cafe Bar,"Vidinli Tevfik Paşa Caddesi No:26/C Şehzadebaşı, İstanbul 34200 Türkiye,İnternet sitesi,Menü","Kafe,Deniz Mahsülleri,Uluslararası","Akdeniz, Kafe, Deniz Mahsülleri, Avrupa, Türk, Ortadoğu, Uluslararası",263,+90 533 432 98 63,213-922,4.5,"Vejetaryen Dostu, Glütensiz Seçenekler, Vegan Seçenekleri",567.5,567.5
Ali Ocakbaşı - Gümüşsuyu,"İnönü Caddesi No: 22/1 Gümüşsuyu, Beyoğlu, İstanbul Türkiye,İnternet sitesi,Menü","Akdeniz,Barbekü,Türk","Akdeniz, Barbekü, Türk, Mangal, Ortadoğu",183,+90 212 293 67 32,284-851,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",567.5,567.5
Angel Mercan,"Manastır Mevkii, Cafer Sokak No: 18 Tuzla, İstanbul Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",162,+90 216 395 58 95,,4.5,"Rezervasyonlar, Açık Havada Oturma, Oturma, Otopark Var, Vale Otopark, Tekerlekli Sandalye İle Erişim, Alkol Var, Ücretsiz Wifi, Masaya Servis, İndirimli Park Hizmeti",567.5,567.5
Mosaic Terrace Restaurant,"Küçük Ayasofya Cad. Eresin Crown Hotel No:40 K:4 Fatih Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi",Uluslararası,Uluslararası,13,+90 212 638 44 28,71-1064,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, İçecekler",567.5,567.5
La Maison,"Müvezzi Caddesi No: 43 Çırağan, Beşiktaş, İstanbul 34349 Türkiye,İnternet sitesi","Fransız,Avrupa","Öğle Yemeği, Akşam Yemeği",217,+90 212 227 42 65,,4.5,"Rezervasyonlar, Açık Havada Oturma, Oturma, Masaya Servis",556.5,556.5
Mikla Restaurant,"The Marmara Pera Hotel, Mesrutiyet No 15 Beyoglu, İstanbul 34430 Türkiye,İnternet sitesi,Menü","Türk,Çağdaş,Vejetaryen Dostu","Türk, Çağdaş",1957,+90 212 293 56 56,362-723,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",542.5,542.5
Ulus 29,"Ulus Mahallesi, Ahmet Adnan Saygun Caddesi No: 71/1 Beşiktaş, Ulus Parkı İçi, İstanbul Ulus Türkiye,İnternet sitesi","Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",828,+90 212 358 29 29,,4.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",542.5,542.5
Karaköy Gümrük,"Necatibey Caddesi Gumruk Sokak No:4 Karakoy, İstanbul Türkiye,İnternet sitesi","Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",206,+90 212 244 22 52,,4.5,"Öğle Yemeği, Akşam Yemeği, Brunch",532.0,532.0
Marmarion Teras,"Sekbanbasi Sok. No. 6 Antik Hotel İstanbul, İstanbul 34130 Türkiye,İnternet sitesi,Menü","Uluslararası,Akdeniz,Avrupa","Türk, Uluslararası, Akdeniz, Avrupa",32,+90 212 638 58 58,355-709,4.5,Helal,532.0,532.0
Sirevi Restaurant,"Divanyolu Cad. Hoca Rustem Sokak No: 10/A Sultanahmet, İstanbul Türkiye,İnternet sitesi","Akdeniz,Avrupa,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",927,+90 212 512 69 42,,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",531.5,531.5
Eleos Restoran,"İstiklal Cad. Hıdival Palas No:231 K:2 Beyoğlu Merkez, İstanbul Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",638,+90 212 244 90 90,,4.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",531.5,531.5
Nicole,"Boğazkesen Cad. Tomtom Kaptan Sk. No:18 Beyoğlu, İstanbul 34433 Türkiye,İnternet sitesi,Menü","Uluslararası,Avrupa,Vejetaryen Dostu","Avrupa, Uluslararası",621,+90 212 292 44 67,468-595,4.5,"Vejetaryen Dostu, Glütensiz Seçenekler",531.5,531.5
Cafe Esmer Chef,"Ankara Caddesi No: 73/B Sirkeci, İstanbul Türkiye,İnternet sitesi","İtalyan,Pizza,Uluslararası","Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",419,+90 212 513 65 35,,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, İçecekler, Gece Eğlencesi",531.5,531.5
Beyaz İnci,"Yeni Galata Köprüsü Altı Eminönü Haliç Tarafı No 5, İstanbul 34000 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Avrupa","Deniz Mahsülleri, Akdeniz, Avrupa, Türk",208,+90 212 520 21 60,461-532,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler, Helal",496.5,496.5
Dükkan,"Fatih Sultan Mehmet Mah. Küçük Armutlu Atatürk Cad. No:6, İstanbul Türkiye,İnternet sitesi","Biftek Restoranı,Barbekü","Biftek Restoranı, Barbekü",44,2778860,284-709,4.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",496.5,496.5
Jin Terrace Bar,"Sutluce Mh. Imrahor Cd. No:14 Beyoglu/Istanbul Halic Kongre Merkezi ve Miniatürk arasında Rahmi Koç Müzesine yakın, İstanbul 34445 Türkiye,İnternet sitesi","Kafe,Uluslararası,Akdeniz","Kafe, Uluslararası, Akdeniz, Avrupa, Türk, Bar",23,+90 549 393 90 90,248-709,4.5,"Akşam Yemeği, Kahvaltı, Öğle Yemeği, Brunch, Gece Eğlencesi, İçecekler",478.5,478.5
Geppetto,"Atatürk Mahallesi, Kordonboyu Cd. No: 111 Büyükçekmece, İstanbul 34500 Türkiye,İnternet sitesi","İtalyan,Biftek Restoranı,Bar","Bar, Gastropub, İtalyan, Biftek Restoranı, Şarap Barı",765,+90 212 881 54 65,213-709,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch, Gece Eğlencesi, İçecekler",461.0,461.0
Meşhur Tavacı Recep Usta,"Altıntepe Mahallesi, Eski Bağdat Caddesi No: 6/1 Bostancı İskele Karşısı, İstanbul 34834 Türkiye,İnternet sitesi,Menü",Türk,"Akşam Yemeği, Kahvaltı, Öğle Yemeği",262,+90 216 367 19 78,,4.5,"Rezervasyonlar, Tekerlekli Sandalye İle Erişim",461.0,461.0
Babel Ocakbaşı Nevizade,"Kameriye Sk. No:7 Hüseyinaga Mahallesi, İstanbul 34435 Türkiye,İnternet sitesi,Menü","Akdeniz,Barbekü,Türk","Barbekü, Türk, Ortadoğu, Akdeniz, Mangal",225,+90 212 244 64 60,213-709,4.5,"Vejetaryen Dostu, Helal",461.0,461.0
Şehzade Restaurant,"Kocatepe Mah. Abdülhak Hamit Cad. No: 19/1, İstanbul Türkiye,İnternet sitesi,Menü","Türk,Helal",Helal,321,+90 212 361 08 49,,4.5,"Kahvaltı, Akşam Yemeği, Gece Eğlencesi",450.0,450.0
Beyti Restaurant,"Orman Caddesi No: 8 Florya, İstanbul Türkiye,İnternet sitesi,Menü","Barbekü,Türk,Helal","Barbekü, Türk",776,+90 212 663 29 90,177-709,4.5,"Helal, Glütensiz Seçenekler",443.0,443.0
Rana by Topaz,"İnönü Caddesi No: 50 Ömer Avni Mahallesi, İstanbul Türkiye,İnternet sitesi,Menü","Akdeniz,Avrupa,Türk","Türk, Çağdaş, Akdeniz, Avrupa",746,+90 212 249 10 01,177-709,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",443.0,443.0
Sur Balık Cihangir,"Kılıçali Paşa Mah. Akarsu Yokusu Cad. No: 36 - 36A Kat: 7, İstanbul Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Avrupa","Vegan Seçenekleri, Vejetaryen Dostu, Glütensiz Seçenekler",338,+90 212 245 10 87,,4.5,"Öğle Yemeği, Akşam Yemeği",443.0,443.0
Neoclassic,"Istiklal Cad. Ors Turistik Is Merkezi No:151 Kat 1 Taksim, Beyoglu, İstanbul Türkiye,İnternet sitesi","Uluslararası,Akdeniz,Avrupa","Akşam Yemeği, Brunch, Öğle Yemeği, Gece Eğlencesi, İçecekler",226,+90 212 292 48 13,,4.5,"Rezervasyonlar, Açık Havada Oturma, Oturma, Tüm İçkiler, Ücretsiz Wifi, Alkol Var, Masaya Servis",443.0,443.0
Mihri Restaurant,"Cankurtaran Mahallesi Ayasofya MeydanI No:2 Fatih / Isanbul, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Avrupa,Türk,Ortadoğu","Vegan Seçenekleri, Helal",210,+90 212 517 73 73,,4.5,"Kahvaltı, Öğle Yemeği, Akşam Yemeği, Brunch",443.0,443.0
Laledan Restaurant,"Yıldız, Çırağan Cd. 32 Ciragan Palace Kempinski, İstanbul 34349 Türkiye,İnternet sitesi,Menü","Uluslararası,Akdeniz,Avrupa","Vejetaryen Dostu, Glütensiz Seçenekler, Vegan Seçenekleri",118,+90 212 236 73 33,,4.5,"Brunch, Kahvaltı",443.0,443.0
Wonderland,"Rumeli Hisari Mah. Nispetiye Cad. No:65/A Rumelihisari, Sariyer, İstanbul Türkiye,İnternet sitesi",Uluslararası,Uluslararası,26,2878476,177-709,4.5,"Öğle Yemeği, Akşam Yemeği",443.0,443.0
Marin Balık,"Hacıkasım Mahallesi, Liman Sokak No: 20 Şile, İstanbul 34980 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",1312,+90 535 561 34 53,142-709,4.5,"Öğle Yemeği, Akşam Yemeği",425.5,425.5
Miyabi Sushi Restaurant,"Zeytinoglu Cad. Yaren Sok. No:6 14/15 Akatlar -Istanbul, İstanbul 34467 Türkiye,İnternet sitesi,Menü","Japon,Suşi,Asya",Vejetaryen Dostu,615,+90 212 352 02 22,,4.5,"Akşam Yemeği, Kahvaltı, Öğle Yemeği",425.5,425.5
Vue Rooftop,"Atakoy 2-5-6. Kisim, Rauf Orbay Caddesi Sahil Yolu No:2/1, İstanbul 34158 Türkiye,İnternet sitesi","Fransız,Amerikan,Bar","Vejetaryen Dostu, Glütensiz Seçenekler",585,+90 212 463 12 34,,4.5,"İçecekler, Akşam Yemeği, Gece Eğlencesi",425.5,425.5
Taç Balık Restaurant,"Cubuklu Mh. Piri Reis Caddesi No:10, Cubuklu/Beykoz, İstanbul 34815 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Türk",Vejetaryen Dostu,258,+90 216 331 00 51,,4.5,"Öğle Yemeği, Akşam Yemeği, Gece Eğlencesi",425.5,425.5
Toro Latin GastroBar İstanbul,"Merkez Mah. Meserburnu Cad. No:7, Sarıyer, İstanbul 34450 Türkiye,İnternet sitesi,Menü","Meksika,Brezilya,Peru","Meksika, Brezilya, Peru, Latin, İspanyol, Arjantin, Güney Amerika",2,+90 531 266 13 46,298-553,4.5,"Öğle Yemeği, Akşam Yemeği",425.5,425.5
Yeniköy Yalıer 1 Balık Lokantası,"Sarıyer, Köybaşı Caddesi, 145, İstanbul Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz",Akşam Yemeği,18,+90 212 262 27 99,,4.5,"Rezervasyonlar, Tekerlekli Sandalye İle Erişim",425.0,425.0
Shang Palace,"Sinanpasa Mah, Hayrettin Iskelesi Sok, No.1, Besiktas, İstanbul 34353 Türkiye,İnternet sitesi,Menü","Çin,Asya,Kanton yemekleri","Çin, Asya",1708,+90 212 275 88 88,255-553,4.5,"Vejetaryen Dostu, Glütensiz Seçenekler",404.0,404.0
Sntrl Dükkan,"Fenerbahçe Mah. Erguvan Sok. No: 10/A Kadıköy, İstanbul 34760 Türkiye,İnternet sitesi","Kafe,Akdeniz,Türk",Vejetaryen Dostu,27,+90 216 330 70 99,,4.5,"Kahvaltı, Öğle Yemeği, Brunch, Akşam Yemeği",404.0,404.0
Matbah Ottoman Palace Cuisine,"Caferiye Sokak No: 6/1 Sultanahmet, İstanbul 34122 Türkiye,İnternet sitesi,Menü","Türk,Sağlıklı,Ortadoğu","Türk, Sağlıklı, Ortadoğu",1312,+90 212 514 61 51,213-532,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Helal, Glütensiz Seçenekler",372.5,372.5
Günaydın Kasap Steakhouse,"Nispetiye Cad. Seher Yildizi Sok. No:15/A Etiler, Beşiktaş, İstanbul 34330 Türkiye,İnternet sitesi,Menü","Biftek Restoranı,Barbekü,Avrupa","Biftek Restoranı, Barbekü, Avrupa, Türk",213,+90 212 265 52 52,177-532,4.5,Helal,354.5,354.5
Green Restaurant,"Çapariz Sk. No: 11 Kumkapı, İstanbul Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Barbekü","Barbekü, Türk, Deniz Mahsülleri, Akdeniz",40,+90 212 516 16 25,177-532,4.5,Vejetaryen Dostu,354.5,354.5
Mavi Balık,"Kuruçeşme Mah. Muallim Naci Cad. No:64 D:2 Kuruçeşme, Beşiktaş, İstanbul 34345 Türkiye,İnternet sitesi,Menü","Deniz Mahsülleri,Akdeniz,Avrupa","Deniz Mahsülleri, Akdeniz, Avrupa, Türk",373,+90 212 265 54 80,280-420,4.5,"Vejetaryen Dostu, Glütensiz Seçenekler",350.0,350.0
Latife Hanim Meyhanesi,"Istiklal Caddesi, Bekar Sokak No:22/A, İstanbul 34400 Türkiye,İnternet sitesi","Deniz Mahsülleri,Akdeniz,Türk","Deniz Mahsülleri, Akdeniz, Türk",303,+90 212 293 00 68,284-355,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Helal",319.5,319.5
5. Kat Restaurant & Cafe Bar,"Cihangir Mahallesi, Soğancı Sk. No: 3 Beyoğlu, Kat 5, İstanbul 34433 Türkiye,İnternet sitesi,Menü","Uluslararası,Akdeniz,Türk","Akdeniz, Türk, Uluslararası",1191,+90 212 293 37 74,177-461,4.5,"Vejetaryen Dostu, Vegan Seçenekleri, Glütensiz Seçenekler",319.0,319.0
